"imdb_score","movie_budget","release_month","duration","maturity_rating","aspect_ratio","nb_news_articles","actor1_star_meter","actor2_star_meter","actor3_star_meter","colour_film","nb_faces","action","adventure","scifi","thriller","musical","romance","western","sport","horror","drama","war","animation","crime","movie_meter_IMDBpro","Plot contains murder","Plot contains love","Plot contains friend","Plot contains death","Plot contains high school","Plot contains police","Plot contains new york city","Plot contains boy","Plot contains drugs","Plot contains school","Plot contains detective","Plot contains fbi","Plot contains friendship","Plot contains money","Plot contains wedding","Plot contains serial killer","Plot contains alien","Plot contains cult film","Plot contains marriage","Plot contains party","Production Company is Universal Pictures","Production Company is Paramount Pictures","Production Company is Columbia Pictures Corporation","Production Company is Warner Bros.","Production Company is New Line Cinema","Production Company is Twentieth Century Fox","Production Company is Metro-Goldwyn-Mayer (MGM)","Production Company is Touchstone Pictures","Production Company is DreamWorks","Production Company is Miramax","Production Company is Lionsgate","Production Company is Fox Searchlight Pictures","Production Company is Walt Disney Pictures","Production Company is Dimension Films","Production Company is Focus Features","Production Company is Fox 2000 Pictures","Production Company is Summit Entertainment","Production Company is Screen Gems","Production Company is Castle Rock Entertainment","Production Company is Revolution Studios"
7.3,25000000,"Jan",121,"R","2.35",2141,259,559,513,"Color",3,0,0,0,0,0,0,0,0,0,1,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,30000000,"Jan",136,"PG-13","2.35",223,573,4793,6729,"Color",0,0,0,0,0,0,0,0,1,0,1,0,0,0,3940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9,14000000,"Aug",92,"PG-13","2.35",620,2047,1769,11963,"Color",0,0,0,0,1,0,0,0,0,1,0,0,0,0,5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,25000000,"Nov",122,"R","2.35",4135,628,2450,3592,"Color",0,0,0,0,1,0,0,0,0,0,1,0,0,1,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,45000000,"Aug",110,"R","2.35",1723,547,1054,3001,"Color",1,1,0,0,0,0,0,0,0,1,0,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,50000000,"Nov",130,"PG-13","2.35",16092,740,364,1665,"Color",2,0,1,0,0,0,1,0,0,0,1,0,0,0,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,50000000,"Aug",107,"PG-13","2.35",368,4638,3512,5364,"Color",5,1,1,0,0,0,0,0,0,0,0,0,0,0,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,15000000,"Oct",148,"R","2.35",1183,364,2566,4723,"Color",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,18000000,"Oct",114,"R","2.35",1652,20,371,4548,"Color",4,1,0,0,1,0,0,0,0,0,0,0,0,1,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,40000000,"May",110,"PG-13","2.35",846,54,913,2216,"Color",12,0,0,0,0,0,1,0,0,0,1,0,0,0,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.2,52000000,"Nov",178,"R","2.35",889,379,6344,3613,"Color",2,0,0,0,0,0,0,0,0,0,1,0,0,1,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,25000000,"Feb",86,"R","2.35",348,6699,4334,5322,"Color",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3882,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,33000000,"Apr",140,"R","2.35",708,1724,33408,8439,"Color",1,1,0,0,1,0,0,0,0,0,1,0,0,1,1554,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,35000000,"Jan",118,"R","2.35",881,304,2999,2252,"Color",0,1,0,0,1,0,1,0,0,0,0,0,0,1,4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,12000000,"Aug",104,"PG-13","2.35",2550,573,1263,6852,"Color",0,0,0,0,0,1,1,0,0,0,1,0,0,1,3278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.9,45000000,"Jun",100,"PG","2.35",177,3271,4071,1266,"Color",0,1,1,0,0,0,0,0,0,0,0,0,0,0,6778,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,23000000,"Mar",97,"R","2.35",774,580,1232,2226,"Color",4,0,0,0,0,0,1,0,0,0,1,0,0,0,5651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,3000000,"Nov",85,"R","2.35",54,6743,1059,7775,"Color",0,0,0,1,1,0,0,0,0,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,25000000,"Jul",99,"PG-13","2.35",724,10959,6428,23888,"Color",1,1,1,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,45000000,"Jul",119,"PG-13","2.35",118,1682,3741,2271,"Color",3,0,0,0,1,0,0,0,0,0,1,0,0,1,4023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,35000000,"Sep",138,"R","2.35",80,625,2152,10551,"Color",2,0,0,0,1,0,0,0,0,0,1,0,0,1,1615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
